"","CBX","data1_selection","data1_intersection","data1_infeasible","data2_selection","data2_intersection","data2_infeasible","data1_secretor_selection","data1_secretor_intersection","data1_secretor_infeasible","data2_secretor_selection","data2_secretor_intersection","data2_secretor_infeasible","background"
"67","0_0_1_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_1_0",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4612
"68","0_0_1_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_1_0_0_0_0_1_0_0",NA,NA,476,NA,NA,476,NA,NA,476,NA,NA,476,2920
"69","0_0_1_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3056
"70","0_0_1_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_1_0",16,NA,476,NA,NA,476,NA,NA,476,NA,NA,476,884
"71","0_0_1_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_1_0_0_0_0_0_1_0_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2096
"72","0_0_1_0_0_0_0_0_0_1_0_0_0_1_0_0_0_1_0_0_0_0_0_0_0_0_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3056
"73","0_0_1_0_0_0_0_0_0_1_0_0_0_1_0_0_0_1_0_0_0_0_0_0_0_1_0",10,NA,476,NA,NA,476,NA,NA,476,NA,NA,476,884
"74","0_0_1_0_0_0_0_0_0_1_0_0_0_1_0_0_0_1_0_0_0_0_0_0_1_0_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2096
"75","0_0_1_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_1",NA,NA,NA,545,NA,NA,NA,NA,NA,410,NA,NA,4228
"76","0_0_1_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_1_0",73,2,NA,973,2,NA,21,NA,NA,681,NA,NA,6148
"77","0_0_1_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_1_1_0_0",NA,NA,NA,966,NA,NA,NA,NA,NA,682,NA,NA,6148
"78","0_0_1_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_0_1",NA,NA,NA,516,NA,NA,NA,NA,NA,382,NA,NA,4036
"79","0_0_1_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_1_0",73,2,NA,970,2,NA,21,NA,NA,679,NA,NA,6148
"80","0_0_1_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_1_0_1_0_0",NA,NA,NA,945,NA,NA,NA,NA,NA,665,NA,NA,6148
"81","0_0_1_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_1",NA,NA,NA,481,NA,NA,NA,NA,NA,353,NA,NA,3588
"82","0_0_1_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_1_0",33,NA,NA,995,NA,NA,3,NA,NA,691,NA,NA,6148
"83","0_0_1_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_1_0_0_1_0_0",NA,NA,NA,982,NA,NA,NA,NA,NA,682,NA,NA,6148
"84","0_0_1_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_1",NA,NA,476,395,NA,476,NA,NA,476,288,NA,476,2920
"85","0_0_1_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_1_0",33,NA,NA,996,NA,NA,3,NA,NA,689,NA,NA,6148
"86","0_0_1_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_1_0_0_0_1_0_0",NA,NA,NA,965,NA,NA,NA,NA,NA,670,NA,NA,6148
"87","0_0_1_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1",NA,NA,NA,969,NA,NA,NA,NA,NA,717,NA,NA,6148
"88","0_0_1_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0",36,NA,NA,746,NA,NA,NA,NA,NA,518,NA,NA,4612
"89","0_0_1_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_1_0_0_0_0_1_0_0",NA,NA,476,406,NA,476,NA,NA,476,312,NA,476,2920
"90","0_0_1_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_1",NA,NA,NA,497,NA,NA,NA,NA,NA,365,NA,NA,3056
"91","0_0_1_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_1_0",16,NA,476,161,NA,476,NA,NA,476,102,NA,476,884
"92","0_0_1_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_1_0_0_0_0_0_1_0_0",NA,NA,NA,287,NA,NA,NA,NA,NA,202,NA,NA,2096
"93","0_0_1_0_0_0_0_0_0_1_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_1",NA,NA,NA,495,NA,NA,NA,NA,NA,365,NA,NA,3056
"94","0_0_1_0_0_0_0_0_0_1_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_1_0",10,NA,476,154,NA,476,NA,NA,476,101,NA,476,884
"95","0_0_1_0_0_0_0_0_0_1_0_0_1_0_0_0_0_1_0_0_0_0_0_0_1_0_0",NA,NA,NA,277,NA,NA,NA,NA,NA,202,NA,NA,2096
"96","0_0_1_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_1",NA,NA,NA,52,NA,NA,44,NA,NA,12,NA,NA,10864
"97","0_0_1_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_1_0",110,NA,NA,1251,NA,NA,203,26,NA,1399,26,NA,11504
"98","0_0_1_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_0_1_1_0_0",NA,NA,NA,1262,NA,NA,32,14,NA,1437,14,NA,10224
"99","0_0_1_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_1",NA,NA,NA,46,NA,NA,42,NA,NA,12,NA,NA,10384
"100","0_0_1_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_1_0",110,NA,NA,1243,NA,NA,197,24,NA,1391,24,NA,11504
"101","0_0_1_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_1_0_1_0_0",NA,NA,NA,1259,NA,NA,32,14,NA,1431,14,NA,10224
"102","0_0_1_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_0_0_1_0_0_0_0_1",NA,NA,NA,57,NA,NA,NA,NA,NA,14,NA,NA,9264
"103","0_0_1_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_0_0_1_0_0_0_1_0",NA,NA,NA,1321,NA,NA,159,11,NA,1413,11,NA,11504
