"","CBX","data1_selection","data1_intersection","data1_infeasible","data2_selection","data2_intersection","data2_infeasible","data1_secretor_selection","data1_secretor_intersection","data1_secretor_infeasible","data2_secretor_selection","data2_secretor_intersection","data2_secretor_infeasible","background"
"2237","1_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_1_0",1892,NA,NA,NA,NA,NA,1072,NA,NA,NA,NA,NA,7496
"2238","1_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_1_0_0",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7496
"2239","1_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1",107,NA,568,NA,NA,568,NA,NA,568,NA,NA,568,3488
"2240","1_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_1_0",1890,NA,NA,NA,NA,NA,1076,NA,NA,NA,NA,NA,7496
"2241","1_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_1_0_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7496
"2242","1_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_1",239,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,7496
"2243","1_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_1_0",2296,NA,NA,NA,NA,NA,1110,NA,NA,NA,NA,NA,5576
"2244","1_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_1_0_0",14,NA,568,NA,NA,568,5,NA,568,NA,NA,568,3488
"2245","1_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_1",250,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,3712
"2246","1_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_1_0",357,NA,568,NA,NA,568,197,NA,568,NA,NA,568,1024
"2247","1_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_1_0_0",112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2512
"2248","1_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_0_0_1",246,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,3712
"2249","1_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_0_1_0",353,NA,568,NA,NA,568,197,NA,568,NA,NA,568,1024
"2250","1_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_1_0_0",112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2512
"2251","1_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_1",444,NA,NA,NA,NA,NA,336,NA,NA,NA,NA,NA,5096
"2252","1_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_1_0",1984,NA,NA,NA,NA,NA,1336,NA,NA,NA,NA,NA,7496
"2253","1_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_0_0_0_0_1_1_0_0",98,NA,NA,NA,NA,NA,264,NA,NA,NA,NA,NA,7496
"2254","1_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_0_1",412,NA,NA,NA,NA,NA,336,NA,NA,NA,NA,NA,4856
"2255","1_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_1_0",1984,NA,NA,NA,NA,NA,1336,NA,NA,NA,NA,NA,7496
"2256","1_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_1_0_0",90,NA,NA,NA,NA,NA,264,NA,NA,NA,NA,NA,7496
"2257","1_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_1",188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4296
"2258","1_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_1_0",1892,NA,NA,NA,NA,NA,1072,NA,NA,NA,NA,NA,7496
"2259","1_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_1_0_0",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7496
"2260","1_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_1",107,NA,568,NA,NA,568,NA,NA,568,NA,NA,568,3488
"2261","1_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_1_0",1890,NA,NA,NA,NA,NA,1076,NA,NA,NA,NA,NA,7496
"2262","1_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_1_0_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7496
"2263","1_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1",239,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,7496
"2264","1_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0",2296,NA,NA,NA,NA,NA,1110,NA,NA,NA,NA,NA,5576
"2265","1_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_1_0_0",14,NA,568,NA,NA,568,5,NA,568,NA,NA,568,3488
"2266","1_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_1",250,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,3712
"2267","1_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_1_0",357,NA,568,NA,NA,568,197,NA,568,NA,NA,568,1024
"2268","1_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_1_0_0",112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2512
"2269","1_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_1",246,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,3712
"2270","1_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_1_0",353,NA,568,NA,NA,568,197,NA,568,NA,NA,568,1024
"2271","1_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_1_0_0",112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2512
"2272","1_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_1",182,NA,NA,NA,NA,NA,1668,NA,NA,NA,NA,NA,16128
"2273","1_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_1_0",6543,25,NA,581,25,NA,3822,68,NA,1975,68,NA,17088
"2274","1_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_1_0_0",67,2,NA,341,2,NA,901,64,NA,1414,64,NA,15168
"2275","1_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_1",182,NA,NA,NA,NA,NA,1614,NA,NA,NA,NA,NA,15408
"2276","1_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_1_0",6527,25,NA,581,25,NA,3746,68,NA,1963,68,NA,17088
"2277","1_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_1_0_0",67,2,NA,341,2,NA,893,64,NA,1410,64,NA,15168
"2278","1_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_0_0_1",NA,NA,NA,NA,NA,NA,1144,NA,NA,24,NA,NA,13728
"2279","1_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_0_1_0",6108,17,NA,612,17,NA,3102,11,NA,2108,11,NA,17088
"2280","1_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_1_0_0",NA,NA,NA,348,NA,NA,631,22,NA,1449,22,NA,15168
"2281","1_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_1",NA,NA,1824,NA,NA,1824,1005,NA,1824,44,NA,1824,11184
"2282","1_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_1_0",6092,17,NA,615,17,NA,3034,11,NA,2094,11,NA,17088
"2283","1_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_1_0_0",NA,NA,NA,349,NA,NA,626,22,NA,1443,22,NA,15168
"2284","1_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1",431,215,NA,576,215,NA,1588,290,NA,914,290,NA,13728
"2285","1_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0",3642,209,NA,482,209,NA,2117,342,NA,988,342,NA,9192
"2286","1_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0",49,21,1008,93,21,1008,277,66,1008,449,66,1008,5136
"2287","1_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1",982,260,NA,705,260,NA,942,240,NA,1282,240,NA,7656
"2288","1_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0",664,105,1104,302,105,1104,441,141,1104,564,141,1104,1824
"2289","1_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0",256,52,NA,482,52,NA,369,111,NA,962,111,NA,4392
"2290","1_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1",941,243,NA,594,243,NA,910,232,NA,1209,232,NA,8016
"2291","1_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0",752,75,1104,201,75,1104,482,112,1104,481,112,1104,2064
"2292","1_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0",246,45,NA,419,45,NA,345,98,NA,893,98,NA,4584
"2293","1_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_1",203,NA,NA,NA,NA,NA,1663,NA,NA,NA,NA,NA,16128
"2294","1_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_0_0_1_0_1_0",6541,17,NA,17,17,NA,3533,12,NA,1072,12,NA,17088
"2295","1_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_0_0",68,NA,NA,NA,NA,NA,702,NA,NA,467,NA,NA,15168
"2296","1_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_1",203,NA,NA,NA,NA,NA,1609,NA,NA,NA,NA,NA,15408
"2297","1_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_1_0",6525,17,NA,17,17,NA,3461,12,NA,1064,12,NA,17088
"2298","1_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_1_0_0",68,NA,NA,NA,NA,NA,702,NA,NA,467,NA,NA,15168
"2299","1_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_1",NA,NA,NA,NA,NA,NA,2288,NA,NA,48,NA,NA,27456
"2300","1_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_1_0",12228,34,NA,34,34,NA,5774,NA,NA,2380,NA,NA,34176
"2301","1_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_1_0_0",NA,NA,NA,NA,NA,NA,952,NA,NA,1028,NA,NA,30336
"2302","1_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_1",NA,NA,3648,NA,NA,3648,2010,NA,3648,88,NA,3648,22368
"2303","1_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_0_0_1_0_0_0_0_1_0",12196,34,NA,34,34,NA,5646,NA,NA,2360,NA,NA,34176
"2304","1_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_0_0_1_0_0_0_1_0_0",NA,NA,NA,NA,NA,NA,968,NA,NA,1024,NA,NA,30336
"2305","1_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1",32,NA,NA,NA,NA,NA,1188,68,NA,360,68,NA,16128
"2306","1_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0",4069,8,NA,8,8,NA,1918,44,NA,562,44,NA,10752
"2307","1_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0",5,NA,1008,NA,NA,1008,174,12,1008,368,12,1008,6504
"2308","1_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1",596,NA,NA,2,NA,NA,592,NA,NA,510,NA,NA,7656
"2309","1_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0",587,4,1104,30,4,1104,280,14,1104,260,14,1104,1824
"2310","1_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0",163,NA,NA,3,NA,NA,173,NA,NA,438,NA,NA,4392
"2311","1_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1",596,NA,NA,NA,NA,NA,544,NA,NA,504,NA,NA,8016
"2312","1_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0",721,NA,1104,NA,NA,1104,350,14,1104,217,14,1104,2064
"2313","1_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0",163,NA,NA,NA,NA,NA,167,NA,NA,406,NA,NA,4584
"2314","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_1",4053,NA,7616,225,NA,7616,7185,32,7616,336,32,7616,32256
"2315","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_1_0",14393,249,6816,852,249,6816,16843,680,6816,2388,680,6816,31616
"2316","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_1_0_0",1398,1,5536,132,1,5536,7640,182,5536,740,182,5536,28096
"2317","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_1",3285,NA,7280,223,NA,7280,6471,32,7280,322,32,7280,30816
"2318","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_1_0",14257,249,6816,852,249,6816,16469,680,6816,2388,680,6816,31616
"2319","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_1_0_0",1204,1,5536,134,1,5536,7472,182,5536,740,182,5536,28096
"2320","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_1",1547,1,6496,222,1,6496,3514,27,6496,316,27,6496,27456
"2321","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_1_0",13207,249,6816,866,249,6816,14374,665,6816,2484,665,6816,31616
"2322","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_1_0_0",733,NA,5536,134,NA,5536,5893,175,5536,769,175,5536,28096
"2323","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_1",424,NA,9808,203,NA,9808,2491,27,9808,265,27,9808,22368
"2324","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_1_0",13089,249,6816,865,249,6816,14029,664,6816,2485,664,6816,31616
"2325","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_1_0_0",542,NA,5536,136,NA,5536,5744,175,5536,769,175,5536,28096
"2326","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_1",4309,198,4656,523,198,4656,7586,345,4656,904,345,4656,22576
"2327","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_1_0",7838,477,2816,834,477,2816,7069,1087,2816,1723,1087,2816,14408
"2328","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_1_0_0",890,17,3520,122,17,3520,1934,120,3520,423,120,3520,7544
"2329","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_1",3111,592,3072,1013,592,3072,3887,228,3072,783,228,3072,14832
"2330","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_1_0",1693,212,3080,444,212,3080,1392,201,3080,675,201,3080,3696
"2331","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_1_0_0",1245,236,1504,725,236,1504,1838,202,1504,1078,202,1504,8120
"2332","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_1_0_0_0_0_0_0_0_0_1",3106,509,3072,856,509,3072,3969,232,3072,719,232,3072,14832
"2333","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_1_0_0_0_0_0_0_0_1_0",1637,158,3080,368,158,3080,1536,212,3080,598,212,3080,3696
"2334","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_1_0_0_0_0_0_0_1_0_0",1246,221,1504,667,221,1504,1882,205,1504,1060,205,1504,8120
"2335","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_1",1815,NA,NA,NA,NA,NA,1566,NA,NA,8,NA,NA,16240
"2336","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_1_0",8882,84,NA,534,84,NA,9089,188,NA,1122,188,NA,20224
"2337","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_1_0_0",1159,NA,NA,NA,NA,NA,4686,259,NA,654,259,NA,18304
"2338","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_1",1385,NA,NA,NA,NA,NA,1286,NA,NA,4,NA,NA,15472
"2339","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_1_0",8487,84,NA,534,84,NA,8399,158,NA,944,158,NA,20224
"2340","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_1_0_0",923,NA,NA,NA,NA,NA,4346,215,NA,489,215,NA,18304
"2341","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_1",545,NA,NA,NA,NA,NA,629,NA,NA,4,NA,NA,13504
"2342","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_1_0",6744,84,NA,534,84,NA,5045,121,NA,922,121,NA,20224
"2343","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_1_0_0",324,NA,NA,NA,NA,NA,2276,160,NA,405,160,NA,18304
"2344","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_1",22,NA,2982,NA,NA,2982,262,NA,2982,NA,NA,2982,10656
"2345","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_1_0",6343,84,NA,534,84,NA,4353,91,NA,744,91,NA,20224
"2346","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_1_0_0",88,NA,NA,NA,NA,NA,1945,116,NA,240,116,NA,18304
"2347","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_1",3930,12,NA,18,12,NA,3246,51,NA,167,51,NA,16000
"2348","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_1_0",9205,114,NA,228,114,NA,8565,918,NA,1298,918,NA,16624
"2349","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_1_0_0",2230,NA,4224,40,NA,4224,4090,82,4224,350,82,4224,17824
"2350","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_1",5422,266,NA,294,266,NA,3742,52,NA,922,52,NA,21152
"2351","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_1_0",4096,310,4544,594,310,4544,3296,500,4544,1340,500,4544,8672
"2352","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_1_0_0",3160,272,NA,688,272,NA,4144,316,NA,1926,316,NA,18976
"2353","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_0_1",2723,109,NA,109,109,NA,1910,26,NA,447,26,NA,10576
"2354","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_1_0",1946,88,2272,179,88,2272,1808,262,2272,623,262,2272,4336
"2355","1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_1_0_0",1580,121,NA,317,121,NA,2143,153,NA,936,153,NA,9488
"2356","1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_1",1218,NA,NA,NA,NA,NA,1316,NA,NA,NA,NA,NA,12768
"2357","1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_1_0",5520,NA,NA,NA,NA,NA,6323,31,NA,67,31,NA,13408
"2358","1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_1_0_0",621,NA,NA,NA,NA,NA,2880,62,NA,134,62,NA,12128
"2359","1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_1",994,NA,NA,NA,NA,NA,1114,NA,NA,NA,NA,NA,12192
"2360","1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_1_0",5448,NA,NA,NA,NA,NA,6175,31,NA,67,31,NA,13408
"2361","1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_1_0_0",557,NA,NA,NA,NA,NA,2801,62,NA,134,62,NA,12128
"2362","1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_1",224,NA,NA,NA,NA,NA,566,NA,NA,NA,NA,NA,10848
"2363","1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_1_0",4863,NA,NA,NA,NA,NA,5366,35,NA,71,35,NA,13408
"2364","1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_1_0_0",235,NA,NA,NA,NA,NA,2153,70,NA,142,70,NA,12128
"2365","1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_1",NA,NA,1440,NA,NA,1440,364,NA,1440,NA,NA,1440,8832
"2366","1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_1_0",4796,NA,NA,NA,NA,NA,5240,36,NA,72,36,NA,13408
"2367","1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_1_0_0",171,NA,NA,NA,NA,NA,2084,74,NA,146,74,NA,12128
"2368","1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_1",2765,NA,NA,NA,NA,NA,2707,NA,NA,NA,NA,NA,9568
"2369","1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_1_0",3865,124,NA,124,124,NA,3687,108,NA,156,108,NA,6336
"2370","1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_1_0_0",645,NA,800,12,NA,800,941,6,800,35,6,800,3296
"2371","1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_0_1",1714,57,NA,66,57,NA,1147,NA,NA,NA,NA,NA,6336
"2372","1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_1_0",729,84,864,196,84,864,736,58,864,126,58,864,1600
"2373","1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_1_0_0",777,55,NA,110,55,NA,758,16,NA,186,16,NA,3616
"2374","1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_1",1714,18,NA,18,18,NA,1155,NA,NA,NA,NA,NA,6336
"2375","1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_1_0",738,53,864,76,53,864,754,55,864,108,55,864,1600
"2376","1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_1_0_0",777,50,NA,76,50,NA,767,16,NA,178,16,NA,3616
"2377","1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_1",1218,NA,NA,NA,NA,NA,1316,NA,NA,NA,NA,NA,12768
"2378","1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_1_0",5520,NA,NA,NA,NA,NA,6323,31,NA,67,31,NA,13408
"2379","1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_1_1_0_0",621,NA,NA,NA,NA,NA,2880,62,NA,134,62,NA,12128
"2380","1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_1",994,NA,NA,NA,NA,NA,1114,NA,NA,NA,NA,NA,12192
"2381","1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_1_0",5448,NA,NA,NA,NA,NA,6175,31,NA,67,31,NA,13408
"2382","1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_1_0_0",557,NA,NA,NA,NA,NA,2801,62,NA,134,62,NA,12128
"2383","1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_1",224,NA,NA,NA,NA,NA,566,NA,NA,NA,NA,NA,10848
"2384","1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_1_0",4863,NA,NA,NA,NA,NA,5366,35,NA,71,35,NA,13408
"2385","1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_1_0_0",235,NA,NA,NA,NA,NA,2153,70,NA,142,70,NA,12128
